,FALSE,7,Subsets II,Problem Link,Medium,Solution Link,"google, amazon, microsoft, meta , adobe, apple ,TCS , flipkart , uber, swiggy ",
,FALSE,8,Merge Sort,Problem Link,Medium,,"Google, amazon , meta , microsoft ",
,FALSE,9,N Queens,Problem Link,Hard,Solution Link,Microsoft Amazon ,
,FALSE,10,Sudoku Solver,Problem Link,Hard,Solution Link,"Amazon, TCS , Apple, Meta ,Infosys , Oracle, Adobe, Hive ",
,FALSE,11,Count Inversions,Problem Link,Hard,,"Google, amazon , salessforce ",
,,,,,,,,
,,,,,,,,
LINKED LIST,FALSE,1,Reverse a LL,Problem Link,Easy,Solution Link,"google, meta  , apple , microsoft, amazon , oracle, adobe, TCS , qualcomm,Paypal, JP morgan ",
,FALSE,2,Middle of LL,Problem Link,Easy,Solution Link,"amazon, meta ,google, goldman sachs, qualcomm,intuit  ,  walmart labs ",
,FALSE,3,Merge 2 Sorted LL,Problem Link,Easy,Solution Link, Accolite Amazon Belzabar Brocade FactSet Flipkart MakeMyTrip Microsoft OATS Systems Oracle Samsung Synopsys Zoho,
,FALSE,4,Check if LL Is Palindrome or Not,Problem Link,Easy,,"amazon, meta ,google, goldman sachs, cisco , samsung, walmart labs ,wipro ",
,FALSE,5,Detect Cycle in LL,Problem Link,Easy,Solution Link,"google, meta , microsoft, amazon, oracle, paytm, apple, nvidia ",
,FALSE,6,Remove Cycle in LL,Problem Link,Medium,Solution Link,"amazon, meta , apple,",
,FALSE,7,Flatten LL,Problem Link,Medium,Solution Link,"google, amazon, meta ,microsoft , qualcomm, oracle, adobe , uber",
,FALSE,8,Clone LL with Random Pointers,Problem Link,Medium,Solution Link,"meta , amazon, microsoft , google, intel , walmart labs , nvidia , flipkart ,uber ,oracle ",
,FALSE,9,Add 2 Numbers,Problem Link,Medium,,"google, amazon, meta , microsoft, oracle,  Tejas network,  Josh technology , TCS , Accenture ",
,FALSE,10,Reverse Linked List 2,Problem Link,Medium,,"Google , amazon, meta , microsoft, adobe, uber",
,FALSE,11,LRU Cache,Problem Link,Medium,Solution Link,"Nvidia , Google, Meta , Amazon, Microsoft, Oracle, Adobe ,Infoys , Siemens ,Morgan Stanley ",
,FALSE,12,Rotate a LL,Problem Link,Medium,,"Amazon, Google, Meta , Microsoft ,Salesforce ,Infosys , Uber , Apple ",
,FALSE,13,Reverse Nodes in K Groups,Problem Link,Hard,Solution Link,"google, amazon, meta , microsoft, apple, uber, adobe, TCS,DE shaw, zepto ",
,,,,,,,,
,,,,,,,,
STACK & QUEUE,FALSE,1,Implement Stack using Queue,Problem Link,Easy,Solution Link,"google , meta , amazon, microsoft, adobe, oracle, optum ",
,FALSE,2,Implement Queue using Stack,Problem Link,Easy,Solution Link,"amazon, google, microsoft, adobe, oracle , netflix , meta ,uber",
,FALSE,3,Next Greater Element I,Problem Link,Easy,Solution Link,"amazon, meta , swiggy , microsoft , google, apple, morgan stanley , oracle ",
,FALSE,4,Valid Parenthesis,Problem Link,Easy,Solution Link,"Google , meta , amazon, linkedin , intuit , visa , IBM ,TCS  , JP  morgan ",
,FALSE,5,1st Non Repeating in Stream,Problem Link,Easy,Solution Link,"amazon, goldman sach, google, apple, meta , microsoft, walmart labs, adobe, TCS ",
,FALSE,6,Reverse 1st K Elements of Queue,Problem Link,Easy,,"Microsoft , amdocs, amazon ",
,FALSE,7,Time needed to Buy Tickets ,Problem Link,Easy,,"uber, amazon, microsoft, google, ,meta",
,FALSE,8,Next Greater Element II,Problem Link,Medium,Solution Link,"amazon, uber",
